ID,Names,Uses,SideEffects
1,augmentin625,"infections of the lungs , ear , nasal sinus , urinary tract , skin and soft tissue",nausea or vomiting
2,azithromycin,"infections of the ears , lungs , sinuses , skin , throat","nausea or vomiting , dizzy or tired"
3,bendex,"treatment of Roundworm , Tapeworm , Pinworm ","Abdominal pain , Diarrhoea , Nausea , Headache"
4,buscogast,"discomfort in stomach from menstruation , indigestion , flatulence , irritable bowl syndrome","Dry mouth , Blurred vision , Fast heart rate , Diarrhoea, Abnormal Sweating"
5,cetrizine,"symptoms of allergies , hay fever , conjunctivitis","headache , dry mouth , nausea , dizzy , sore throat , diarrhoea "
6,clobeta,treat skin infections caused by microorganisms such as bacteria and fungi,"dryness , redness , itching , burning sensation at the application site"
7,combiflam,"treatment of Joint pain , Migraine , Dental pain , Menstrual pain , Nerve pain","Nervousness , Constipation , Dizziness , Flatulence"
8,dolo650,"treat fever, headaches , migraine , nerve pain , sore throat , pains , arthritis , common cold ","Malaise , Drowsiness , Fainting , Constipation , Nausea"
9,eldoper,"treatment of idiopathic diarrhea in aids patients , loose stools, hiccups ","Constipation , Vomiting , Abdominal pain , Dizziness , Nausea"
10,maxical500,"low levels of calcium in the blood suck as weak bones , bone loss and muscle weakness","loss of appetite , excessive thirst , kidney stones , irregular heart beat "
11,meftal-spas,"treat dysmenorrhea or pain during periods , colicky pain","bloating , altered taste , heartburn , indigestion , mild nausea"
12,norflex400,"treat urinary tract infections, such as cystitis and chronic prostatitis","Headache, dizziness, nausea, vomiting, constipation, indigestion"
13,ors,treat dehydration caused by diarrhea,"nausea, skin rash, stomach upset, acute toxicity, loss of appetite"
14,oxymetazolinenasalspray,"temporary relief of nasal congestion,stuffiness caused by hay fever, allergies, colds, sinus trouble"," drowsiness, slow heartbeat, dizziness, fainting,dryness inside the nose"
15,riboflavin,"maintaining the health of your blood cells, brain, skin, and digestive tract, mouth ulcer ",very high doses may cause itching
16,sompraz40,"treatment of Vomiting, Bloating, Heartburn, gastro esophageal reflux disease, Zollinger-Ellison syndrome","Sinus inflammation, Bowel disturbance, Diarrhoea, Dizziness"
17,sporlac,"diarrhea (loose stools), antibiotic-induced diarrhea, and infantile diarrhea (common in children)","gas, nausea, bloating or gastrointestinal infections"
18,ultracet,treat moderate to moderately severe pain,"Nausea,vomiting,constipation,lightheadedness,dizziness,drowsiness, sweating"
19,vomikind,"treatment of Radiotherapy and chemotherapy induced nausea, vomiting"," warmth, constipation, headache, diarrhoea, headache, drowsiness, tiredness"
20,dpgesic,"reduce pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis","Nausea,Stomach pain/epigastric pain,Heartburn,Diarrhea,Loss of appetite"
21,spasmonil,"diagnosis or treatment of Spams, toothache, irritable bowel, bloating, inability to control urine","Nausea,Dryness in mouth,Blurred vision,Sleepiness,Weakness,Nervousness"
22,cefloxdee,treat infections in the eye or ear caused by bacteria,"Eye irritation,Irritation of ear,Eye discomfort,Ear discomfort"
23,allegra,"used to treat skin allergies with itching, redness, or swelling","nausea,diarrhea,upset stomach,muscle or back discomfort or pain,sleepiness,drowsiness,"
24,aspirin,can be effective at preventing heart attack or stroke," vomiting of blood or material that looks like coffee grounds, unusual bleeding"
25,statins,lowering cholesterol and protecting against a heart attack and stroke,"headache,dizziness,feeling sick,feeling unusually tired or physically weak"
26,atenolol,used to treat high blood pressure (hypertension) and irregular heartbeats (arrhythmia),"may cause heart failure in some patients, chest pain or discomfort; dilated neck veins; extreme fatigue"
27,cloxacillin,beta-hemolytic streptococcal and pneumococcal infections as well as staphylococcal infections,"Upset stomach, nausea, vomiting, diarrhea, gas, and mouth sores "
28,analgesic, relieve different types of pain — from headaches to injuries to arthritis,"Damage to internal organs, such as the liver or kidneys,Diarrhea or constipation,Heart problems"
29,ranitidine,"used for indigestion, heartburn and acid reflux,to prevent and treat stomach ulcers","headache,constipation,diarrhea,nausea,vomiting"
30,albendazole,treat infections caused by worms,"Blistering, peeling, or loosening of the skin,general feeling of tiredness or weakness"
31,artesunate,"treats malaria, a red blood cell infection transmitted by the bite of a mosquito","Hives,Rash,HemoglobinuriaSeizures,Neuropsychiatric reactions"
32,piroxicam,"treat pain and help relieve symptoms of arthritis (eg, osteoarthritis, rheumatoid arthritis), such as inflammation, swelling, stiffness, and joint pain","Bloating,bloody or black, tarry stools,burning upper stomach pain,cloudy urine,decrease in urine output or decrease in urine-concentrating ability."
33,levamisole ,"reatment of parasitic, viral, and bacterial infections","Blurred vision,convulsions (seizures),lip smacking or puffing,numbness,tingling, or pain in face, hands, or feet.
paranoia (feelings of persecution)"
34,lamivudine,treat hepatitis B infection,"difficulty falling asleep or staying asleep,depression,stuffy nose,cough,joint pain"
35,prednisolone,"allergies, blood disorders, skin diseases, inflammation, infections and certain cancers and to prevent organ rejection after a transplant","Problems sleeping (insomnia) ,Feeling restless,Sweating a lot,Mild mood changes."
36,bisacodyl,help you empty your bowels if you have constipation (difficulty pooing).,"feeling sick (nausea), diarrhoea, stomach pain or cramps."
37,chlorella, to prevent low levels of iron during pregnancy,"Green-colored stools,Gas,bloating"
38,bcomplex,"treat or prevent vitamin deficiency due to poor diet, certain illnesses, alcoholism, or during pregnancy","vomiting, high blood sugar levels, skin flushing, and even liver damage"
39,meloxicam,"used to relieve pain, tenderness, swelling, and stiffness caused by osteoarthritis and rheumatoid arthritis","chest pain or discomfort, nausea or vomiting, pain or discomfort in the arms, jaw, back, or neck, trouble breathing, slurred speech, or weakness"
40,gefitinib,treatment of non-small cell lung cancer,"yellow eyes or skin, clay colored stools,swelling of the feet or lower legs"
41,obenyl,herbal formulation for lowering lipids and managing weight,no side effects 
42,hepcinat,treatment of chronic hepatitis C virus (HCV) infection,"A mild skin rash , Feeling dizzy or lightheaded, especially when you stand up or sit up quickly"
43,ramipril,treat high blood pressure (hypertension) and heart failure,"fatigue, dizziness, and blurred vision"
44,arimidex,treat breast cancer in women who have gone through the menopause,"Hot flashes, headache, trouble sleeping, dizziness, stomach upset, nausea/vomiting, constipation, diarrhea, loss of appetite"
45,glivec,treatment of blood cancer (chronic myeloid leukaemia and Acute lymphocytic leukemia) and gastrointestinal stromal tumor," edema, nausea, vomiting, muscle cramps, musculoskeletal pain, diarrhea, rash, fatigue, and abdominal pain"
46,ledifos,in the treatment of chronic hepatitis C infection,"Difficulty in falling asleep , vomiting , diarrhoea"
47,daclahep,treatment of chronic hepatitis C virus (HCV) infection,"headache, anaemia, tiredness, nausea, diarrhoea, rash, and sleeplessness"
48,anabrez,to treat early breast cancer in postmenopausal women,"nausea/vomiting, constipation, diarrhea, loss of appetite"
49,pantocid,"iagnosis or treatment of Heartburn, Irritable bowel syndrome, Indigestion"," nausea, vomiting, headache, dizziness, flatulence, diarrhea, and stomach pain"
50,reosto,weak and brittle bones (osteoporosis),no well known side effects
